Poo 1998,Pre base spike num,Pre base spike freq,Post base spike num,Post base spike freq,Potocol occurance,Protocol freq,dt1,dt2,dt3,dw_mean,dw_ste
9,2,0,2,0,60,1,5,11.1,-5,2.269361702,0
9,2,0,2,0,60,1,5,11.1,-5,14.04255319,0
9,2,0,2,0,60,1,5,11.1,-5,14.25531915,0
9,2,0,2,0,60,1,5,11.1,-5,44.04255319,0
9,2,0,2,0,60,1,5,16.3,-5,13.19148936,0
9,2,0,2,0,60,1,5,16.3,-5,31.06382979,0
9,2,0,2,0,60,1,5,22.0,-5,23.40425532,0
9,2,0,2,0,60,1,5,22.0,-5,44.53829787,0
9,2,0,2,0,60,1,5,22.0,-5,4.255319149,0
9,2,0,2,0,60,1,5,26.3,-5,28.20425532,0
9,2,0,2,0,60,1,5,26.3,-5,26.1,0
9,2,0,2,0,60,1,5,26.3,-5,20.85106383,0
9,2,0,2,0,60,1,5,26.3,-5,10.21276596,0
9,2,0,2,0,60,1,5,26.3,-5,3.261702128,0
9,2,0,2,0,60,1,5,26.3,-5,1.985106383,0
9,2,0,2,0,60,1,5,35.8,-5,30.91489362,0
9,2,0,2,0,60,1,5,35.8,-5,23.55319149,0
9,2,0,2,0,60,1,5,35.8,-5,16.87234043,0
9,2,0,2,0,60,1,5,35.8,-5,11.06382979,0
9,2,0,2,0,60,1,5,45.0,-5,16.17021277,0
9,2,0,2,0,60,1,5,45.0,-5,6.808510638,0
9,2,0,2,0,60,1,5,56.7,-5,28.08510638,0
9,2,0,2,0,60,1,5,56.7,-5,14.25531915,0
9,2,0,2,0,60,1,5,56.7,-5,8.723404255,0
9,2,0,2,0,60,1,5,66.5,-5,19.36170213,0
9,2,0,2,0,60,1,5,66.5,-5,9.14893617,0
9,2,0,2,0,60,1,5,76.3,-5,7.510638298,0
9,2,0,2,0,60,1,5,76.3,-5,-5.106382979,0
9,2,0,2,0,60,1,5,86.6,-5,10.42553191,0
9,2,0,2,0,60,1,5,86.6,-5,-4.468085106,0
